study,variant,instance,seed,alpha,trials,final_best_error,total_cost,runtime_seconds,objective_evaluations,mean_max_fidelity,mean_population_budget,burst_events
ablation,Full HAT,168868,3,0.0005,200,-98.63741302490234,84525.08043050766,1.0467544998973608,980,49.5,192.955,193
ablation,Full HAT,168868,4,0.0005,200,-98.6545181274414,63574.64965426922,0.9501245999708772,875,34.71,157.025,194
ablation,Full HAT,168868,5,0.0005,200,-98.56674194335938,75096.83113336563,1.0553526000585407,904,35.09,143.125,184
ablation,Full HAT,168868,6,0.0005,200,-98.68455505371094,83173.53268313408,1.1486303999554366,968,42.03,143.35,191
ablation,Full HAT,168868,7,0.0005,200,-98.5363540649414,67631.18545818329,1.0227155999746174,932,40.45,155.26,192
ablation,Full HAT,168868,8,0.0005,200,-98.55914306640625,82889.84672796726,1.0993876000866294,944,44.63,174.665,189
ablation,Full HAT,168868,9,0.0005,200,-98.64501190185547,81546.70665490627,1.1247153000440449,964,45.67,186.61,193
ablation,Full HAT,168908,0,0.0005,200,-81.94775390625,563660.1206772327,1.03708909987472,944,45.05,175.615,177
ablation,Full HAT,168908,1,0.0005,200,-82.07600402832031,661184.7627513409,1.1702296999283135,952,46.845,179.745,185
ablation,Full HAT,168908,2,0.0005,200,-81.96611022949219,602596.6529052258,0.998183999909088,933,43.88,175.495,170
ablation,Full HAT,168908,3,0.0005,200,-82.6314926147461,579329.750567913,1.0695022998843342,951,45.36,178.87,184
ablation,Full HAT,168908,4,0.0005,200,-83.51118469238281,600201.9129900932,1.0837922000791878,932,43.6,176.325,176
ablation,Full HAT,168908,5,0.0005,200,-81.71582794189453,608501.3000566959,1.0935009999666363,960,44.995,174.235,181
ablation,Full HAT,168908,6,0.0005,200,-83.70742797851562,584511.9854092598,0.9597247000783682,951,43.585,164.63,179
ablation,Full HAT,168908,7,0.0005,200,-80.68233489990234,555464.0442838669,1.2441018000245094,931,41.73,177.165,182
ablation,Full HAT,168908,8,0.0005,200,-80.94636535644531,582085.8041324615,1.205306600080803,961,44.995,175.185,185
ablation,Full HAT,168908,9,0.0005,200,-80.845458984375,558251.361749649,1.1266149999573827,955,46.16,182.585,184
ablation,Full HAT,168910,0,0.0005,200,-71.9787826538086,123152.45158338547,1.0071093998849392,908,28.75,76.235,181
ablation,Full HAT,168910,1,0.0005,200,-69.75910186767578,152945.25944662094,1.140410500112921,901,36.46,142.735,179
ablation,Full HAT,168910,2,0.0005,200,-69.600830078125,154251.47015857697,1.0175713000353426,905,38.645,167.39,182
ablation,Full HAT,168910,3,0.0005,200,-67.5355224609375,170148.3760995865,1.1420658000279218,963,47.09,185.28,184
ablation,Full HAT,168910,4,0.0005,200,-73.16777038574219,144875.83587646484,1.2228504000231624,897,36.655,166.91,172
ablation,Full HAT,168910,5,0.0005,200,-71.76598358154297,170997.12702727318,1.0182833999861032,940,43.55,164.79,175
ablation,Full HAT,168910,6,0.0005,200,-68.81704711914062,151328.4128496647,0.9840935000684112,920,37.99,141.975,178
ablation,Full HAT,168910,7,0.0005,200,-71.5738754272461,159005.54497003555,1.1373308000620455,954,39.56,141.19,188
