study,variant,instance,seed,alpha,trials,final_best_error,total_cost,runtime_seconds,objective_evaluations,mean_max_fidelity,mean_population_budget,burst_events
sensitivity,alpha=0.0001,189873,2,0.0001,60,-80.65772247314453,188492.65937137604,0.3171822999138385,242,29.066666666666666,139.61666666666667,45
sensitivity,alpha=0.0001,189873,3,0.0001,60,-84.87250518798828,221228.4468574524,0.2931971999350935,236,24.366666666666667,115.23333333333333,44
sensitivity,alpha=0.0001,189873,4,0.0001,60,-74.27872467041016,105974.76383399963,0.29312120005488396,225,15.8,70.15,37
sensitivity,alpha=0.001,3945,0,0.001,60,-98.44110107421875,8708.62793970108,0.2879162000026554,218,15.316666666666666,94.38333333333334,40
sensitivity,alpha=0.001,3945,1,0.001,60,-98.4668960571289,16947.012723207474,0.29406440001912415,241,23.4,80.36666666666666,52
sensitivity,alpha=0.001,3945,2,0.001,60,-97.8454360961914,15399.004039287567,0.3270022999495268,241,21.7,148.98333333333332,48
sensitivity,alpha=0.001,3945,3,0.001,60,-98.5093994140625,20082.827721595764,0.3206229000352323,246,29.166666666666668,139.11666666666667,50
sensitivity,alpha=0.001,3945,4,0.001,60,-98.19293975830078,8552.657138824463,0.25407419982366264,203,11.45,78.15,51
sensitivity,alpha=0.001,167104,0,0.001,60,-92.83413696289062,4630.486740857363,0.3061502000782639,251,29.616666666666667,135.51666666666668,43
sensitivity,alpha=0.001,167104,1,0.001,60,-92.41056823730469,5458.965674221516,0.29872129997238517,243,23.516666666666666,92.35,47
sensitivity,alpha=0.001,167104,2,0.001,60,-90.88872528076172,7383.875466823578,0.3057937999255955,248,32.8,139.0,45
sensitivity,alpha=0.001,167104,3,0.001,60,-91.45904541015625,4631.788559854031,0.2874100999906659,227,19.316666666666666,86.71666666666667,43
sensitivity,alpha=0.001,167104,4,0.001,60,-91.93004608154297,7412.3325425982475,0.312546500004828,259,34.71666666666667,143.08333333333334,42
sensitivity,alpha=0.001,168329,0,0.001,60,-30.376590728759766,9677.450235843658,0.284769699908793,227,15.016666666666667,83.01666666666667,44
sensitivity,alpha=0.001,168329,1,0.001,60,-25.69538116455078,10507.650863051414,0.2708845001179725,216,14.2,37.35,51
sensitivity,alpha=0.001,168329,2,0.001,60,-27.238513946533203,18152.429522037506,0.29650470009073615,242,29.066666666666666,139.61666666666667,45
sensitivity,alpha=0.001,168329,3,0.001,60,-30.203336715698242,18783.002743840218,0.2965115001425147,236,24.366666666666667,115.23333333333333,44
sensitivity,alpha=0.001,168329,4,0.001,60,-28.264110565185547,15330.417603135109,0.3197417000774294,245,26.083333333333332,121.6,39
sensitivity,alpha=0.001,168908,0,0.001,60,-81.94775390625,114966.87217855453,0.3043802999891341,245,29.416666666666668,120.58333333333333,38
sensitivity,alpha=0.001,168908,1,0.001,60,-82.07600402832031,141269.1906118393,0.3197071999311447,252,34.81666666666667,132.48333333333332,45
sensitivity,alpha=0.001,168908,2,0.001,60,-79.39112091064453,102622.14196586609,0.2917015999555588,241,28.666666666666668,131.98333333333332,36
sensitivity,alpha=0.001,168908,3,0.001,60,-81.1109619140625,130684.2716832161,0.3061955999583006,255,31.783333333333335,136.3,47
sensitivity,alpha=0.001,168908,4,0.001,60,-80.10111236572266,128093.51906871796,0.29371339990757406,244,29.616666666666667,141.41666666666666,45
sensitivity,alpha=0.001,189873,0,0.001,60,-82.94473266601562,187379.48810863495,0.28947199997492135,242,27.216666666666665,130.6,40
sensitivity,alpha=0.001,189873,1,0.001,60,-74.88462829589844,81462.82141017914,0.2728002001531422,211,13.6,52.3,53
sensitivity,alpha=0.001,189873,2,0.001,60,-80.65772247314453,188492.65937137604,0.2970821000635624,242,29.066666666666666,139.61666666666667,45
sensitivity,alpha=0.001,189873,3,0.001,60,-84.87250518798828,221228.4468574524,0.2907589999958873,236,24.366666666666667,115.23333333333333,44
sensitivity,alpha=0.001,189873,4,0.001,60,-74.27872467041016,105974.76383399963,0.2702824999578297,225,15.8,70.15,37
sensitivity,alpha=0.01,3945,0,0.01,60,-98.36791229248047,6828.534641742706,0.25382940005511045,200,10.4,62.083333333333336,39
sensitivity,alpha=0.01,3945,1,0.01,60,-98.54965209960938,15575.947744607925,0.27173679997213185,228,19.916666666666668,119.05,42
sensitivity,alpha=0.01,3945,2,0.01,60,-97.81489562988281,14095.786837100983,0.29671699996106327,235,18.25,100.61666666666666,48
sensitivity,alpha=0.01,3945,3,0.01,60,-98.49080657958984,19110.36692905426,0.3007811999414116,244,27.8,133.63333333333333,50
sensitivity,alpha=0.01,3945,4,0.01,60,-98.45362091064453,16315.050023078918,0.28002800000831485,242,28.533333333333335,116.26666666666667,48
sensitivity,alpha=0.01,167104,0,0.01,60,-92.83413696289062,4625.326786547899,0.3025754999835044,248,28.983333333333334,122.48333333333333,40
sensitivity,alpha=0.01,167104,1,0.01,60,-93.0696029663086,7474.139435827732,0.3168627000413835,267,36.68333333333333,116.73333333333333,48
sensitivity,alpha=0.01,167104,2,0.01,60,-90.88872528076172,6595.957013607025,0.3044490998145193,243,29.8,126.15,42
