algorithm,instance,seed,final_best_error,total_cost
bohb,167190,2,-86.09911346435547,52306.15064334869
bohb,167190,3,-86.2743911743164,46602.24844133854
bohb,167190,4,-87.97807312011719,47246.83538854122
bohb,167190,5,-85.92584991455078,55157.187287569046
bohb,167190,6,-86.02803802490234,49475.8615424633
bohb,167190,7,-86.16792297363281,47400.99416458607
bohb,167190,8,-84.7219467163086,46289.34737384319
bohb,167190,9,-85.16815948486328,46632.33956050873
bohb,167200,0,-70.2061538696289,106861.17859220503
bohb,167200,1,-72.87044525146484,130551.6070649624
bohb,167200,2,-72.63566589355469,117392.83764195442
bohb,167200,3,-73.93962860107422,110368.6276421547
bohb,167200,4,-75.90884399414062,105657.09106874466
bohb,167200,5,-72.31488037109375,127714.34673190115
bohb,167200,6,-73.8006820678711,108616.59856581688
bohb,167200,7,-73.7787094116211,104365.4259493351
bohb,167200,8,-71.5810775756836,105201.59537625311
bohb,167200,9,-70.58499145507812,105525.72738790512
bohb,167201,0,-80.09770965576172,88157.32620596886
bohb,167201,1,-77.12921905517578,104837.6136136055
bohb,167201,2,-76.16524505615234,94676.82214069366
bohb,167201,3,-77.1436767578125,88357.05192351341
bohb,167201,4,-81.06806182861328,89787.35479664803
bohb,167201,5,-79.37517547607422,106420.15906977654
bohb,167201,6,-79.744873046875,89418.39901709557
bohb,167201,7,-75.85678100585938,86211.25496816635
bohb,167201,8,-75.59994506835938,83310.16379642487
bohb,167201,9,-75.39363098144531,86696.43869805336
bohb,168329,0,-33.13837814331055,104266.54870951176
bohb,168329,1,-34.22782516479492,121957.4410983324
bohb,168329,2,-32.565677642822266,118570.70751774313
bohb,168329,3,-32.404476165771484,110256.3046194315
bohb,168329,4,-33.98796463012695,104643.50638616084
bohb,168329,5,-30.658830642700195,123066.71020710468
bohb,168329,6,-23.77301406860352,107363.1476432085
bohb,168329,7,-33.364219665527344,105391.50852715968
bohb,168329,8,-32.235679626464844,103955.01978731155
bohb,168329,9,-26.38965606689453,105773.75535941124
bohb,168330,0,-69.40436553955078,97940.42257928848
bohb,168330,1,-67.10614013671875,122428.43041992188
bohb,168330,2,-66.7415771484375,112578.53564023972
bohb,168330,3,-69.61268615722656,106913.423027277
bohb,168330,4,-67.17723846435547,101416.42097759248
bohb,168330,5,-68.00655364990234,123626.87467503548
bohb,168330,6,-69.24005889892578,107430.79061031342
bohb,168330,7,-69.524658203125,98381.86049485208
bohb,168330,8,-69.69650268554688,100305.50337219238
bohb,168330,9,-69.11851501464844,104771.36818552016
bohb,168331,0,-57.79824066162109,97927.31608760355
bohb,168331,1,-62.65711212158203,114143.90328025818
bohb,168331,2,-62.25359344482422,107138.65704381466
bohb,168331,3,-69.68720245361328,97045.03846478462
bohb,168331,4,-66.1331787109375,98241.92261302473
bohb,168331,5,-61.192813873291016,114266.3808940649
bohb,168331,6,-64.81085205078125,104793.98213267326
bohb,168331,7,-67.27587890625,96619.32086801527
bohb,168331,8,-67.16241455078125,96551.13984417915
